lines of code,class,print(,__future__,xrange, range,"u""",print ,unicode(,__next__(,raw_input(,explanation
"self.differentiated_services = (self.dscp, self.ecn)",3,,,,,,,,,,
hosts = set(),3,,,,,,,,,,
"LPAREN,",3,,,,,,,,,,
"assert isinstance(local_mem, int), \",3,,,,,,,,,,
"LVX(0),  # abs(all_inner - done_inner)",3,,,,,,,,,,
else:,3,,,,,,,,,,
"LCX(speed_right),  # SPEED",3,,,,,,,,,,
@ramp_up_time.setter,3,,,,,,,,,,
"tts = gtts.gTTS(txt, lang=lang, tld=tld, slow=slow)",3,,,,,,,,,,
dump.write(,3,,,,,,,,,,
"assert slow is None or isinstance(slow, bool), \",3,,,,,,,,,,
part = f.read(1017),3,,,,,,,,,,
ptr = params_ptr[i],3,,,,,,,,,,
self._host = host.upper(),3,,,,,,,,,,
"duration=duration,",3,,,,,,,,,,
if self._version:,3,,,,,,,,,,
"isinstance(tracking_callback, Callable)",3,,,,,,,,,,
raise DirCmdError(,3,,,,,,,,,,
speed_right *= min(,3,,,,,,,,,,
starts unlimited movement of the motor.,3,,,,,,,,,,
return RGBColor(,3,,,,,,,,,,
self._socket is not None and,3,,,,,,,,,,
"value = self.builder.mul(lhs,rhs)",3,,,,,,,,,,
"opOutput_Clr_Count,",3,,,,,,,,,,
self._polarity_right * step,3,,,,,,,,,,
class DfuException(Exception):,3,,,,,,,,,,
flags = [],3,,,,,,,,,,
"READY_RAW,",3,,,,,,,,,,
"from .color import Color, RGBColor, RawRGBColor",3,,,,,,,,,,
"self._tread,",3,,,,,,,,,,
time_delta_max=datetime.timedelta(days=time_delta_max),3,,,,,,,,,,
''',3,,,,,,,,,,
"DEL_SUBFOLDER,",3,,,,,,,,,,
"except (SysCmdError, AttributeError):",3,,,,,,,,,,
AF43 = 38 #High drop probability,3,,,,,,,,,,
min_gap = 0  # minimum (real) gap between peaces,3,,,,,,,,,,
elif self._port == PORT_C:,3,,,,,,,,,,
self._host in self._devices,3,,,,,,,,,,
Send a system command to the LEGO EV3,3,,,,,,,,,,
timespan between  introspections [s],3,,,,,,,,,,
"f'{self.protocol}',",3,,,,,,,,,,
elif values[n] == 5:,3,,,,,,,,,,
_ID_PRODUCT_EV3 = 0x0005,3,,,,,,,,,,
if self._physical_ev3 is not None:,3,,,,,,,,,,
"msg_cnt = my_ev3.send_direct_cmd(ops_get, global_mem=32)",3,,,,,,,,,,
yar3.append(int(y3)),3,,,,,,,,,,
return duration,3,,,,,,,,,,
hbox0.addWidget(self.titlePage2),3,,,,,,,,,,
) *,3,,,,,,,,,,
self._tracking.update(data),3,,,,,,,,,,
"LED_GREEN_FLASH,",3,,,,,,,,,,
self._offset = self.angle,3,,,,,,,,,,
if self._conn_owner and self._physical_ev3 is not None:,3,,,,,,,,,,
my_ev3.sync_mode = ev3.ASYNC,3,,,,,,,,,,
return self._temperament,3,,,,,,,,,,
"opJr_Gteq32,  # b'\x7A'",3,,,,,,,,,,
return self._ramp_up,3,,,,,,,,,,
resolver.nameservers = nameservers,3,,,,,,,,,,
"LED_RED,",3,,,,,,,,,,
"ev3.opCom_Get,",3,,,,,,,,,,
local_mem=5,3,,,,,,,,,,
GVX(0)  # VALUE1 (output),3,,,,,,,,,,
compiler = Compiler(),3,,,,,,,,,,
f.close(),3,,,,,,,,,,
elif self._polarity_right == -1:,3,,,,,,,,,,
if protocol == BLUETOOTH:,3,,,,,,,,,,
"type: 1 byte, SYSTEM_COMMAND_REPLY or SYSTEM_COMMAND_NO_REPLY",3,,,,,,,,,,
step1_right = int(factor**2 * step1_left),3,,,,,,,,,,
"LVX(56),  # speed_orig",3,,,,,,,,,,
"tones.tone_next,",3,,,,,,,,,,
) % 360 - 180,3,,,,,,,,,,
if duration is None:,3,,,,,,,,,,
"COLON,",3,,,,,,,,,,
freq = self._temperament,3,,,,,,,,,,
return True,3,,,,,,,,,,
hole_mmc = allowance + shaft_mmc,3,,,,,,,,,,
"LCX(speed),",3,,,,,,,,,,
return any(data[2:]),3,,,,,,,,,,
"MOD,",3,,,,,,,,,,
"opOutput_Time_Speed,",3,,,,,,,,,,
while True:,3,,,,,,,,,,
cfunc = CFUNCTYPE(c_int)(entry),3,,,,,,,,,,
"from core.modules import base, console",3,,,,,,,,,,
client.shutdown(socket.SHUT_RDWR),3,,,,,,,,,,
return self.pixmap.size(),3,,,,,,,,,,
"LCX(last_pos_outer),",3,,,,,,,,,,
AF11 = 10 #Low drop probability,3,,,,,,,,,,
"socket.AF_INET,",3,,,,,,,,,,
"SYNC - EV3 device is blocked and control comes back,",3,,,,,,,,,,
self._polarity_right * self._motor_pos[1] -,3,,,,,,,,,,
assert msg_cnt_1 in my_ev3._physical_ev3._reply_buffer,3,,,,,,,,,,
stop_it = True,3,,,,,,,,,,
"READY_PCT,  # CMD",3,,,,,,,,,,
"GVX(42),  # MAC",3,,,,,,,,,,
return unpack(,3,,,,,,,,,,
elif values[n] == 6:,3,,,,,,,,,,
if sdn:,3,,,,,,,,,,
"LCX(self._port_right),  # NOS",3,,,,,,,,,,
"LCX(step3_right),  # STEP3",3,,,,,,,,,,
"data, address = self.recvfrom(0xFFFF)",3,,,,,,,,,,
direction (sign) and angle (degrees) of movement,3,,,,,,,,,,
writef(data),3,,,,,,,,,,
return int(bumps),3,,,,,,,,,,
''',3,,,,,,,,,,
"LCX(speed),  # SPEED",3,,,,,,,,,,
if self._protocol == USB:,3,,,,,,,,,,
self.data_offset = self.ihl * 4,3,,,,,,,,,,
"SYSTEM_END_OF_FILE,",3,,,,,,,,,,
"LVX(44),  # done_inner as DATAF",3,,,,,,,,,,
self.compile(body),3,,,,,,,,,,
return self.get(url),3,,,,,,,,,,
del self.connections[address],3,,,,,,,,,,
) = [,3,,,,,,,,,,
if step2_left < 0:,3,,,,,,,,,,
EV3_TOUCH,3,,,,,,,,,,
self.groupBox2.setLayout(hvbox2),3,,,,,,,,,,
self.send_direct_cmd(,3,,,,,,,,,,
self._endless = endless,3,,,,,,,,,,
w = 0,3,,,,,,,,,,
"synchronization mode (STD, SYNC, ASYNC)",3,,,,,,,,,,
progress_update(int(100 * (size - size_remain) / size)),3,,,,,,,,,,
"scale1.grid(row=1, column=0, rowspan=3)",3,,,,,,,,,,
"result.append(Remote(False, True, False, False, False))",3,,,,,,,,,,
"sync mode (standard, asynchronous, synchronous)",3,,,,,,,,,,
"assert isinstance(polarity_right, int), \",3,,,,,,,,,,
None if values[2*n + 1] == -2147483648,3,,,,,,,,,,
"def error(self, t):",3,,,,,,,,,,
"assert isinstance(raw, Iterable) and len(raw) == 3, \",3,,,,,,,,,,
manifest_list=[],3,,,,,,,,,,
bar_thread = ProgressBarThread(endless=True),3,,,,,,,,,,
"resp = dns.query.udp(message, resolver.nameservers[0], **kwargs)",3,,,,,,,,,,
"return GyroState(angle - self._offset, rate)",3,,,,,,,,,,
"LCX(8),  # read 8 bytes (header only)",3,,,,,,,,,,
"return utils.until_block(p.statements,p.expr)",3,,,,,,,,,,
if reply is not None:,3,,,,,,,,,,
xar = [],3,,,,,,,,,,
cp = QDesktopWidget().availableGeometry().center(),3,,,,,,,,,,
self.path_s1a_cal_tmp=tk.StringVar(),3,,,,,,,,,,
direction=int(,3,,,,,,,,,,
"global data_date, polar, iw",3,,,,,,,,,,
"i for i, sector in enumerate(memory_map)",3,,,,,,,,,,
"GVX(12),  # VALUE4 - proximity channel 2",3,,,,,,,,,,
"EV3_LARGE_MOTOR,",3,,,,,,,,,,
def motor_type(self):,3,,,,,,,,,,
import subprocess,3,,,,,,,,,,
if len(EOF_check) != 0:,3,,,,,,,,,,
"LVX(56),  # all_outer = target_pos_outer - start_pos_outer",3,,,,,,,,,,
"reply_msg_cnt,",3,,,,,,,,,,
"result.append(Remote(False, True, False, False, True))",3,,,,,,,,,,
self._port_handle.flushOutput(),3,,,,,,,,,,
yar2 = [],3,,,,,,,,,,
"dfu.erase(address, size, memory_map)",3,,,,,,,,,,
"Create a socket, that holds a WiFi-connection to an EV3",3,,,,,,,,,,
"GVX(12),  # SOURCE1",3,,,,,,,,,,
if self.sensors_as_dict[port_motor_input(self._port_right)] not in (,3,,,,,,,,,,
chunk = private_key.read(0xFFF),3,,,,,,,,,,
def _control_periodic(self):,3,,,,,,,,,,
"variable=self.Not_s1a_cal_aux_tmp, onvalue=1, offvalue=0)",3,,,,,,,,,,
finally:,3,,,,,,,,,,
hbox1.addWidget(self.portLabel),3,,,,,,,,,,
"f'found EV3 device {serial_number}, but not {self._host}'",3,,,,,,,,,,
"opMove32_32,",3,,,,,,,,,,
"GET_OS_BUILD,",3,,,,,,,,,,
"opOutput_Test,  # b'\xA9'",3,,,,,,,,,,
assert msg_cnt_1 == my_ev3._physical_ev3._reply_buffer[msg_cnt_1][2:4],3,,,,,,,,,,
"CONTINUE_DOWNLOAD,",3,,,,,,,,,,
"LVX(52),  # ratio_all",3,,,,,,,,,,
if Not_s1a_cal_aux == 0:,3,,,,,,,,,,
"part_size = min(self._RW_MAX_SIZE, size_remain)",3,,,,,,,,,,
"return utils.if_stmt(p.statements0,p.statements1,p.expr)",3,,,,,,,,,,
self._tracking._motor_pos[1] + diff_pos[1],3,,,,,,,,,,
),3,,,,,,,,,,
@channel.setter,3,,,,,,,,,,
def prepare():,3,,,,,,,,,,
hvbox3.addLayout(hhbox3),3,,,,,,,,,,
data = None,3,,,,,,,,,,
"LED_OFF,",3,,,,,,,,,,
"os.link(tmp1,tmp2[-1])",3,,,,,,,,,,
return [p.statement],3,,,,,,,,,,
t = tree,3,,,,,,,,,,
"LCX(last_pos_inner),",3,,,,,,,,,,
self.key = key,3,,,,,,,,,,
"label=tk.Label(self,",3,,,,,,,,,,
"GVX(global_offset),  # BUSY (DATA8) - output",3,,,,,,,,,,
"opMove32_32,  # b'\x3A'",3,,,,,,,,,,
"from core.modules.console import print, pprint",3,,,,,,,,,,
self.tone(,3,,,,,,,,,,
"return f""Options(copied={self.copied}, opt_class={self.option_class}, opt_number={self.opt_number}, opt_length={self.opt_length}, opt_data={self.data})""",3,,,,,,,,,,
self.variables = previous_variables,3,,,,,,,,,,
value=i)),3,,,,,,,,,,
from .constants import *,3,,,,,,,,,,
self._abort(bar_thread),3,,,,,,,,,,
while data:,3,,,,,,,,,,
return bool(touched),3,,,,,,,,,,
if self._conn_owner:,3,,,,,,,,,,
current_pos = self.motor_pos,3,,,,,,,,,,
firmware = firmware_file.read(),3,,,,,,,,,,
rest_t = delta_t / delta_pos * rest_pos,3,,,,,,,,,,
"opFile,",3,,,,,,,,,,
self._polarity_right * self._motor_pos[1] -,3,,,,,,,,,,
def initUI2(self):,3,,,,,,,,,,
params = params[1:],3,,,,,,,,,,
"LCX(start_pos_outer),",3,,,,,,,,,,
"def while_block(body,test):",3,,,,,,,,,,
process = subprocess.Popen(,3,,,,,,,,,,
NXT_TOUCH = 1,3,,,,,,,,,,
return reply[6:],3,,,,,,,,,,
if sync_mode is None:,3,,,,,,,,,,
Dir_image=self.Dir_image_tmp.get(),3,,,,,,,,,,
self._physical_ev3 = None,3,,,,,,,,,,
PORT_D_SENSOR,3,,,,,,,,,,
Control directly comes back.,3,,,,,,,,,,
"opOutput_Test,",3,,,,,,,,,,
"EV3_COLOR,",3,,,,,,,,,,
"opAdd32,  # b'\x12'",3,,,,,,,,,,
self.initUI1(),3,,,,,,,,,,
"READY_RAW,",3,,,,,,,,,,
S1AB=S1AB[:3],3,,,,,,,,,,
return tuple(result),3,,,,,,,,,,
"setattr(self, key, getattr(self.descriptor, key))",3,,,,,,,,,,
verbosity=1,3,,,,,,,,,,
raise SysCmdError(,3,,,,,,,,,,
if self._port_left < self._port_right:,3,,,,,,,,,,
response.parsed = lambda: parse(response),3,,,,,,,,,,
reply to the system command,3,,,,,,,,,,
self._tracking.update(motor_pos),3,,,,,,,,,,
splash.setMask(splash_pix.mask()),3,,,,,,,,,,
import json,3,,,,,,,,,,
"LCX(2),  # MODE (Remote)",3,,,,,,,,,,
"PORT_D,",3,,,,,,,,,,
duration time for ramp-down [sec.],3,,,,,,,,,,
self.visit_until(branch),3,,,,,,,,,,
"sync_mode=ev3.SYNC,",3,,,,,,,,,,
def start_move_to(,3,,,,,,,,,,
"port_motor_input,",3,,,,,,,,,,
app.processEvents(),3,,,,,,,,,,
layout1.addLayout(hbox0),3,,,,,,,,,,
tts.write_to_fp(process.stdin),3,,,,,,,,,,
freq /= 2**(1/12),3,,,,,,,,,,
"target_pos[0],",3,,,,,,,,,,
"value = self.builder.sub(lhs,rhs)",3,,,,,,,,,,
"LVX(4),  # SOURCE - abs(diff) (DATAF)",3,,,,,,,,,,
font-size: 16pt;,3,,,,,,,,,,
"LCX(3),  # HARDWARE",3,,,,,,,,,,
"from core.modules import console, base",3,,,,,,,,,,
"fnty = ir.FunctionType(return_type,params_type)",3,,,,,,,,,,
read = socket.recv,3,,,,,,,,,,
return -1,3,,,,,,,,,,
"LCX(1),",3,,,,,,,,,,
port_settings = self._port_handle.getSettingsDict(),3,,,,,,,,,,
return cls._devices,3,,,,,,,,,,
from collections import namedtuple,3,,,,,,,,,,
"GT,",3,,,,,,,,,,
"LCX(ramp_up_ms),  # STEP1",3,,,,,,,,,,
my_ev3.sync_mode = ev3.STD,3,,,,,,,,,,
"opJr_Gt32,  # b'\x6A'",3,,,,,,,,,,
pos = size - rest,3,,,,,,,,,,
"reads current motor positions and busy state,",3,,,,,,,,,,
"LCX(self._port),  # NOS",3,,,,,,,,,,
self.titlePage1.setStyleSheet(titlestyle),3,,,,,,,,,,
from src.compiler.compiler import Compiler,3,,,,,,,,,,
if reply[4:5] == _SYSTEM_REPLY:,3,,,,,,,,,,
if not busy_inner and not busy_outer:,3,,,,,,,,,,
self._port_handle.flushInput(),3,,,,,,,,,,
f'found EV3 devices: {hosts} but not {self._host}',3,,,,,,,,,,
ax1.clear(),3,,,,,,,,,,
"LCX(step3),",3,,,,,,,,,,
msg_cnt = cmd[2:4],3,,,,,,,,,,
global clearance,3,,,,,,,,,,
sync_mode=SYNC,3,,,,,,,,,,
"assert local_mem <= 1019, \",3,,,,,,,,,,
"assert ev3_obj._physical_ev3 is not None, \",3,,,,,,,,,,
class Track(Program):,3,,,,,,,,,,
"value = self.builder.ashr(lhs,rhs)",3,,,,,,,,,,
pass  # directory already exists,3,,,,,,,,,,
"self.stop,",3,,,,,,,,,,
from audio_scraper import Audio_Scraper,3,,,,,,,,,,
"assert verbosity is None or 0 <= verbosity <= 2, \",3,,,,,,,,,,
start_time = time(),3,,,,,,,,,,
existing EV3 object (its connections will be used),3,,,,,,,,,,
"self.bind((address, port))",3,,,,,,,,,,
hhbox2.addStretch(),3,,,,,,,,,,
"sock, address = self.accept()",3,,,,,,,,,,
from core.modules.base import Program,3,,,,,,,,,,
"Whenever the speed changes, step2 must be recalculated and",3,,,,,,,,,,
"tk.Entry(self, textvariable=self.path_config_tmp, width=50, borderwidth=2),",3,,,,,,,,,,
response = self._port_handle.read(),3,,,,,,,,,,
"polarity of left motor rotation, values: -1, 1 (default)",3,,,,,,,,,,
"assert isinstance(value, int), \",3,,,,,,,,,,
mac address of EV3 device,3,,,,,,,,,,
tone = self._tones[self._pos][0],3,,,,,,,,,,
with true:,3,,,,,,,,,,
"LCX(0),  # LAYER",3,,,,,,,,,,
shaft_lmc = float(shaft_lmc),3,,,,,,,,,,
load_command.set_defaults(func=dfu_handler.load),3,,,,,,,,,,
plays a tone,3,,,,,,,,,,
step_right = Decimal(,3,,,,,,,,,,
firmware version,3,,,,,,,,,,
from .motor import Motor,3,,,,,,,,,,
ramp_up,3,,,,,,,,,,
"host=host,",3,,,,,,,,,,
parser: argparse.ArgumentParser = argparse.ArgumentParser(),3,,,,,,,,,,
"return utils.func_call(p.NAME,p.params)",3,,,,,,,,,,
"LCX(0),  # MODE (cm)",3,,,,,,,,,,
self.on_start(),3,,,,,,,,,,
"def COMMENT(self, t):",3,,,,,,,,,,
def sercon1(self):,3,,,,,,,,,,
"LVX(48),  # all_inner = target_pos_inner - start_pos_inner",3,,,,,,,,,,
"GVX(0),",3,,,,,,,,,,
"pause=pos - pause_start,",3,,,,,,,,,,
"msg_cnt,",3,,,,,,,,,,
"opCom_Set,",3,,,,,,,,,,
"available only for WiFi connected devices,",3,,,,,,,,,,
"level (0, 1, 2) of verbosity (prints on stdout)",3,,,,,,,,,,
raise e,3,,,,,,,,,,
"opMove32_F,  # b'\x3B'",3,,,,,,,,,,
"total duration in sec.,",3,,,,,,,,,,
value1 = values[1][3:],3,,,,,,,,,,
"Create a socket, that holds a bluetooth-connection to an EV3",3,,,,,,,,,,
"value = self.builder.fdiv(lhs,rhs)",3,,,,,,,,,,
"(0x8008080, 96478),",3,,,,,,,,,,
"LVX(0),  # DESTINATION - signed_speed (DATAF)",3,,,,,,,,,,
value2 = values[2][3:],3,,,,,,,,,,
"_DIRECT_COMMAND_NO_REPLY,",3,,,,,,,,,,
from stem.util import term,3,,,,,,,,,,
"copyfile(src2, src)",3,,,,,,,,,,
speed *= -1,3,,,,,,,,,,
"self,",3,,,,,,,,,,
for port in ports:,3,,,,,,,,,,
step2_right = 0,3,,,,,,,,,,
"Task object, that can be started, stopped and continued.",3,,,,,,,,,,
Keyword Arguments,3,,,,,,,,,,
ESD_YN=self.ESD_YN_tmp.get(),3,,,,,,,,,,
else:,3,,,,,,,,,,
font-family: Calibri;,3,,,,,,,,,,
if data_md5 == curr_md5:,3,,,,,,,,,,
"opJr_Gteq32,",3,,,,,,,,,,
"assert duration >= 0.001, \",3,,,,,,,,,,
if not self._port_handle.isOpen():,3,,,,,,,,,,
system command replies error,3,,,,,,,,,,
"LCX(0),  # MODE - Degree",3,,,,,,,,,,
g.close(),3,,,,,,,,,,
expected motor is not connected,3,,,,,,,,,,
self.display_menu(),3,,,,,,,,,,
class CloudSnarf(base.Program):,3,,,,,,,,,,
reply[16:],3,,,,,,,,,,
"opInput_Device,",3,,,,,,,,,,
self._delta_time = delta_time,3,,,,,,,,,,
pass,3,,,,,,,,,,
sercon1 = ser.sercon1(),3,,,,,,,,,,
if self._id:,3,,,,,,,,,,
Keyword arguments (either protocol and host or ev3_obj),3,,,,,,,,,,
"LCX(8),  # LENGTH",3,,,,,,,,,,
"opSubF,",3,,,,,,,,,,
params_ptr.append(ptr),3,,,,,,,,,,
path_source,3,,,,,,,,,,
self._abort(bar_thread),3,,,,,,,,,,
Type = ir.IntType(32),3,,,,,,,,,,
hbox2 = QHBoxLayout(),3,,,,,,,,,,
"assert isinstance(radius_wheel, Number), \",3,,,,,,,,,,
hvbox4.addWidget(self.dhumLabel),3,,,,,,,,,,
self.dhumVal.setStyleSheet(valStyle),3,,,,,,,,,,
"LED_OFF,",3,,,,,,,,,,
"freq,",3,,,,,,,,,,
"fmt,",3,,,,,,,,,,
"ops,",3,,,,,,,,,,
"opJr_Gt32,",3,,,,,,,,,,
PORTS_ALL = 15,3,,,,,,,,,,
"LVX(32),",3,,,,,,,,,,
"LVX(40),  # will become abs(done_inner)",3,,,,,,,,,,
).total_seconds(),3,,,,,,,,,,
self._target_position = (,3,,,,,,,,,,
"client.connect((self.arguments.address, self.arguments.port))",3,,,,,,,,,,
"opMul32,",3,,,,,,,,,,
return p.expr,3,,,,,,,,,,
"SET_MINUTES,",3,,,,,,,,,,
return self._speed,3,,,,,,,,,,
captured.out,3,,,,,,,,,,
@port_right.setter,3,,,,,,,,,,
"DEL_SUBFOLDER,",3,,,,,,,,,,
for eachLine in dataArray:,3,,,,,,,,,,
self.raw_header = buffer[:self.data_offset],3,,,,,,,,,,
"test,_ = self.visit_value(Test)",3,,,,,,,,,,
Keyword only arguments,3,,,,,,,,,,
"assert verbosity is None or isinstance(verbosity, int), \",3,,,,,,,,,,
self.close(),3,,,,,,,,,,
diff_left = round(diff_pos[0]),3,,,,,,,,,,
class DirCmdError(Exception):,3,,,,,,,,,,
"assert len(msg_cnt) == 2, \",3,,,,,,,,,,
),3,,,,,,,,,,
"battery voltage [V], current [A] and percentage (as named tuple)",3,,,,,,,,,,
global_mem=10,3,,,,,,,,,,
location = os.path.abspath(os.path.dirname(__file__)),3,,,,,,,,,,
import socks,3,,,,,,,,,,
"LVX(0),  # SOURCE2 - from_position (DATAF)",3,,,,,,,,,,
"def body(self, p):",3,,,,,,,,,,
@tracking_callback.setter,3,,,,,,,,,,
EV3_ULTRASONIC,3,,,,,,,,,,
return self.state.rate,3,,,,,,,,,,
self.layout2.addLayout(hbox2),3,,,,,,,,,,
commands = self._serial_read(size),3,,,,,,,,,,
data_date=[],3,,,,,,,,,,
"All this is done in a single direct command,",3,,,,,,,,,,
"LVX(48),  # last_outer as DATAF",3,,,,,,,,,,
"f""host {host} already connected, call with argument ev3_obj""",3,,,,,,,,,,
"dfu.go(int(args.address, 0))",3,,,,,,,,,,
"self._jukebox.play_tone(tone, volume=volume)",3,,,,,,,,,,
self.stop_sound,3,,,,,,,,,,
if (speed < 0 and position <= target_position):,3,,,,,,,,,,
import pytest,3,,,,,,,,,,
"console.print(prefix2, (value, True), prefix = prefix2)",3,"print(prefix2,",,,,,,,,,"print(prefix2,"
"wait = min(2*delta_t, 0.5*rest_t, 2)",3,,,,,,,,,,
pprint(tree),3,,,,,,,,,,
TRIAD = {,3,,,,,,,,,,
"LVX(52),  # all_inner as DATAF",3,,,,,,,,,,
self._polarity_right * (motor_pos[1] - self._motor_pos[1]),3,,,,,,,,,,
command.run(),3,,,,,,,,,,
return self._read_protection_status,3,,,,,,,,,,
"LCX(16),  # LENGTH",3,,,,,,,,,,
self.goBtn1 = PicButton(QPixmap(picon)),3,,,,,,,,,,
try:,3,,,,,,,,,,
always use DIRECT_COMMAND_REPLY and wait for reply.,3,,,,,,,,,,
"GVX(74),  # NAME (out)",3,,,,,,,,,,
man_pages = [,3,,,,,,,,,,
if self.sensors_as_dict[self._port] != EV3_IR:,3,,,,,,,,,,
duration=duration,3,,,,,,,,,,
EU_ANTEMN = {,3,,,,,,,,,,
if rtp.payload:,3,,,,,,,,,,
for command in commands:,3,,,,,,,,,,
return self,3,,,,,,,,,,
"SYNC,",3,,,,,,,,,,
"btn_pwd.grid(row=2, column=2)",3,,,,,,,,,,
if ran >= self.arguments.key.size:,3,,,,,,,,,,
"LVX(4),  # STEP1 (DATA32)",3,,,,,,,,,,
self.atemVal2.setStyleSheet(valStyle),3,,,,,,,,,,
"level (0, 1, 2) of verbosity (prints on stdout).",3,,,,,,,,,,
"sync_mode=sync_mode,",3,,,,,,,,,,
hvbox1.addStretch(6),3,,,,,,,,,,
reply = self.send_system_cmd(cmd),3,,,,,,,,,,
def scraper(self):,3,,,,,,,,,,
degrees for ramp-down,3,,,,,,,,,,
rtp = i[3],3,,,,,,,,,,
hvbox3.addWidget(self.dtemLabel),3,,,,,,,,,,
elif type is 1:  # NOP,3,,,,,,,,,,
],3,,,,,,,,,,
matcher = re.search(,3,,,,,,,,,,
from animplot import *,3,,,,,,,,,,
global_mem > 0 or,3,,,,,,,,,,
self.send_system_cmd(cmd),3,,,,,,,,,,
"UNTIL,",3,,,,,,,,,,
"assert isinstance(ev3_obj, EV3), \",3,,,,,,,,,,
